time	user_id	item_id
156660900.0	1	1
156660931.0	1	2
156663343.0	2	3
156669277.0	3	4
156669361.0	3	5
156669382.0	3	6
156670150.0	3	7
156671655.0	4	9
156675016.0	3	8
156676403.0	5	10
156676523.0	5	11
156678799.0	6	12
156679340.0	7	13
156679584.0	8	16
156680046.0	9	17
156680059.0	10	20
156680353.0	9	18
156680361.0	9	19
156682336.0	11	21
156682508.0	12	22
156683163.0	13	23
156683272.0	13	24
156683598.0	13	25
156683854.0	14	26
156684170.0	15	30
156684180.0	15	31
156684421.0	16	34
156684471.0	16	35
156684483.0	16	36
156684501.0	17	39
156685153.0	15	32
156685234.0	18	40
156685663.0	16	37
156686370.0	19	41
156686458.0	20	42
156686659.0	20	43
156686661.0	20	44
156686709.0	21	56
156686762.0	21	57
156686871.0	21	58
156686876.0	22	61
156686923.0	20	45
156687129.0	23	62
156687141.0	20	46
156687427.0	20	47
156687462.0	24	63
156687497.0	25	64
156687626.0	26	67
156687658.0	25	65
156687763.0	21	59
156687850.0	20	48
156688009.0	27	69
156688012.0	16	38
156688124.0	25	66
156688166.0	27	70
156688229.0	28	72
156688279.0	21	60
156688353.0	20	49
156688430.0	28	73
156688614.0	29	74
156688630.0	30	77
156688631.0	31	79
156688711.0	29	75
156688752.0	30	78
156688868.0	32	80
156688882.0	29	76
156688905.0	33	84
156689248.0	15	33
156689484.0	34	85
156689521.0	35	87
156689589.0	36	91
156689882.0	37	94
156690015.0	37	95
156690090.0	38	19
156690101.0	38	96
156690246.0	39	99
156690249.0	40	101
156690323.0	38	97
156690326.0	39	100
156690336.0	41	103
156690358.0	42	104
156690368.0	38	98
156690385.0	40	102
156690770.0	42	105
156690826.0	43	106
156690830.0	44	107
156691127.0	20	50
156691354.0	45	108
156691417.0	46	117
156691516.0	32	81
156691556.0	47	118
156691621.0	45	109
156691669.0	45	110
156691698.0	45	111
156691701.0	48	5
156691961.0	49	119
156691968.0	45	112
156692003.0	45	113
156692039.0	45	114
156692424.0	36	92
156692480.0	49	120
156692508.0	36	93
156693416.0	20	51
156693991.0	50	121
156694106.0	51	122
156694727.0	20	52
156694958.0	52	123
156694990.0	53	124
156695241.0	54	125
156695281.0	55	129
156695340.0	56	130
156695367.0	57	131
156695383.0	54	126
156695384.0	54	127
