user_id	post_name	u_interactions_f	u_text_f	u_sentiment_c	u_sentiment_f	u_topic_c	u_topic_o
1	2843	4	62	2	1.0	27	[0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.33703342, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492, 0.01578492]
2	9684	3	41	2	0.58	8	[0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.37340736, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887, 0.01491887]
3	6866	7	108	2	0.833	32	[0.0, 0.0, 0.0, 0.0, 0.11334211, 0.0, 0.0, 0.0, 0.08449461, 0.0, 0.0, 0.11425712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.165003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22500554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	12991	3	87	0	0.0	19	[0.11231676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18124278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35049951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	2156	4	120	2	1.0	12	[0.0, 0.07447793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44889811, 0.0, 0.0, 0.12061201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10804326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	9877	3	96	2	0.769	4	[0.0, 0.0, 0.0, 0.0, 0.42761984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13424514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11394957, 0.0, 0.0, 0.0, 0.0]
7	2422	5	107	2	1.0	30	[0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.32734692, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.01222622, 0.17137814, 0.01222622, 0.01222622]
8	4113	3	93	2	1.0	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09589171, 0.31450519, 0.0, 0.0, 0.1147013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19213703, 0.0, 0.0, 0.0, 0.0, 0.0]
9	237	5	72	2	1.0	31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09372336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35872984, 0.0, 0.0, 0.16482054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10	34908	3	66	2	1.0	15	[0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.39498132, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.14541082, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995, 0.01120995]
11	10774	3	58	2	1.0	35	[0.21904871, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11821908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42233005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12	12332	3	86	0	0.0	42	[0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.2104968, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.01281996, 0.26388493]
13	20394	5	77	2	1.0	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11127131, 0.0, 0.0, 0.0, 0.28542617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14976561, 0.0, 0.0, 0.14820018, 0.0, 0.0, 0.0]
14	738	6	84	2	0.826	3	[0.0, 0.0, 0.24280781, 0.28144565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17519136, 0.0]
15	4554	6	114	0	0.0	3	[0.0, 0.0, 0.0, 0.61489075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11321823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06332532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16	1149	7	124	0	0.0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7704615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
17	31902	3	135	0	0.0	3	[0.0, 0.0, 0.0, 0.43495923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05581613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12098188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16509207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
18	24838	3	70	2	1.0	42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25160083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14561437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27555129]
19	30912	3	117	0	0.0	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.62625617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05699652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11275066, 0.0, 0.0]
20	2951	16	76	2	1.0	20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15328079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29674688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14311929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15467998, 0.0, 0.0, 0.0]
21	1959	7	78	0	0.0	9	[0.0, 0.0, 0.10551931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30131027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11518998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22465773]
22	8856	3	104	0	0.0	11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36272025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18805747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13667181, 0.0, 0.0]
23	520	3	53	2	0.694	0	[0.2495698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18678682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19589499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
24	15670	3	133	0	0.0	22	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06376079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73781431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
25	27168	5	73	2	1.0	42	[0.0, 0.0, 0.17487188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11675967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18657063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25770423]
26	5999	4	48	2	1.0	42	[0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.01357572, 0.42981973]
27	37769	5	42	2	1.0	42	[0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.01659761, 0.30290025]
28	3811	4	76	2	0.692	11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35917002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13726638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11348648, 0.0, 0.0]
29	1187	5	77	0	0.0	36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16152614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20256136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2482917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30	34284	4	82	2	0.699	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23286939, 0.0, 0.0, 0.22474864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13761818, 0.0, 0.0, 0.14090757, 0.0, 0.0, 0.0, 0.0, 0.0]
31	12733	3	70	1	0.54	36	[0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.20648889, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312, 0.01889312]
32	31009	6	125	0	0.0	29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11041244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12542084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33187294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12405299, 0.06336962, 0.0, 0.0]
33	47169	3	68	2	0.735	42	[0.0, 0.0, 0.10585441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15014884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15976994, 0.0, 0.0, 0.0, 0.14828719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16079076]
34	4969	4	121	3	0.518	9	[0.0, 0.0, 0.0, 0.0, 0.24193008, 0.0, 0.0, 0.0, 0.0, 0.35268992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06600785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07619189, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
35	3100	6	55	2	1.0	29	[0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.39959958, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525, 0.01429525]
36	645	5	132	2	0.762	41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04489007, 0.0, 0.0, 0.0, 0.0, 0.0562582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06491652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.63577873, 0.0]
37	6466	4	48	2	1.0	10	[0.0, 0.0, 0.25075564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43157205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
