item_id	i_posts_f	i_interactions_f	i_friends_f	i_topic_o	i_topic1_c	i_topic1_f	i_topic2_c	i_topic2_f
1	5	317	239001476.0	[0.03823596945661194, 0.02699809315194279, 0.0245133420593496, 0.028213864124794298, 0.02847415743519079, 0.02346994664096964, 0.15790284288406653, 0.025844872423832536, 0.2081561338902695, 0.024602016287177144, 0.05468506393630986, 0.028449497194461267, 0.02898528262949328, 0.02867580779272863, 0.03037657703005647, 0.019047689386158712, 0.03535273542175252, 0.02515973245625146, 0.03291531266168653, 0.026648053493973586, 0.073021758335998]	8.0	0.2081561338902695	6.0	0.15790284288406653
2	1	16	813783.0	[0.028603810060303658, 0.019234369741752744, 0.02049188723322004, 0.016396124381572008, 0.016396150283981115, 0.02213374909479171, 0.03346473060082644, 0.05883275863016024, 0.1422814541729167, 0.03139712766278535, 0.063578171946574, 0.016396133753005415, 0.01639613404404372, 0.03332571225473657, 0.019460043171420693, 0.016396125254686922, 0.01639613078441471, 0.016396128456108272, 0.03158886369783431, 0.016396134509705007, 0.3644382628845051]	20.0	0.3644382628845051	8.0	0.1422814541729167
3	0	45	11092921.0	[0.02948062951780028, 0.013486844197743469, 0.022099613915714952, 0.014601940910021463, 0.027549114554292625, 0.020123278328941927, 0.024384892338679895, 0.024029210685855812, 0.438317839263214, 0.02672705710348156, 0.042357942875888614, 0.02637224236710204, 0.03195029509564241, 0.04468856596698364, 0.025324331451621322, 0.026090954968498812, 0.016700667950014274, 0.03449688930478361, 0.03686053885353936, 0.02364372731082969, 0.046535537102156216]	8.0	0.438317839263214	20.0	0.046535537102156216
4	0	12	28.0	[0.11207683927689989, 0.017316672562931974, 0.0173166838940233, 0.021033901100357372, 0.04952328807363907, 0.017316662551214296, 0.03542632105139395, 0.017316745904584725, 0.12656210556936762, 0.04513208203328153, 0.0268516984457771, 0.0316781517273436, 0.07382088356340925, 0.01731666154228151, 0.023931943501035374, 0.027601896319538355, 0.017316684514905017, 0.024188725044950843, 0.03784875051739315, 0.017316662551214296, 0.24310663272626698]	20.0	0.24310663272626698	8.0	0.12656210556936762
5	0	15	83.0	[0.09577552316089472, 0.016767127191027006, 0.021135951951146127, 0.019740960871179897, 0.04253241841991742, 0.03224631901830435, 0.03125484051803748, 0.01676718027641376, 0.1282252020513018, 0.04566634551932414, 0.06459209136664867, 0.03903988823294639, 0.061970490403473376, 0.016767112848659355, 0.022059338353574275, 0.024995300670464835, 0.016767131226758162, 0.0403887627646327, 0.03611180800944567, 0.025061622820794584, 0.20213457799206178]	20.0	0.20213457799206178	8.0	0.1282252020513018
6	0	10	1036065.0	[0.11482061520218849, 0.018593961372971535, 0.01859397757798433, 0.023054653871804477, 0.02364677907899022, 0.04181274911388755, 0.04032553099095822, 0.018594041001051664, 0.09012188874185086, 0.034560687746852635, 0.018593952246010303, 0.05200310191139579, 0.061310508847236635, 0.018593939766287804, 0.02653227811679244, 0.030936221498996018, 0.01859396444633603, 0.018593940418213606, 0.033322512079030274, 0.0310357048176229, 0.2663589813746512]	20.0	0.2663589813746512	0.0	0.11482061520218849
7	0	179	468.0	[0.028563254923877103, 0.017544788932791967, 0.013062969188325564, 0.011987314106865302, 0.017963427977438745, 0.015603622312360968, 0.0153216385287779, 0.013871363842828647, 0.3855640416777584, 0.016145120572569317, 0.023044798746913172, 0.013083457686631373, 0.01561739623504977, 0.021178795331724863, 0.012811202529880255, 0.016380013617057373, 0.016260728364883188, 0.02342588999750894, 0.02207832640900625, 0.011376552970549248, 0.22864261821078855]	8.0	0.3855640416777584	20.0	0.22864261821078855
8	0	5	1445.0	[0.01362761463969946, 0.022709959559142588, 0.013627606444060802, 0.013627605699002742, 0.013627605699002742, 0.04756836704909802, 0.25855800583958627, 0.02570399399846792, 0.013627606444060802, 0.013627605699002742, 0.013627606444060802, 0.18250548467040062, 0.01362761165946722, 0.0782856309786439, 0.01362773347645998, 0.013627605699002742, 0.013627605699002742, 0.013627605699002742, 0.12491564583033324, 0.013627605699002742, 0.08259387817233801]	6.0	0.25855800583958627	11.0	0.18250548467040062
9	0	166	1177.0	[0.022373125046850687, 0.017341898675693804, 0.01211432024208178, 0.01108048246971455, 0.01546513395249305, 0.0138499913456659, 0.013635515925440803, 0.013380791436521763, 0.4078325459464307, 0.013821866262300187, 0.019466602215431183, 0.01074198853359165, 0.011452166924634612, 0.021428685500679247, 0.011759398319949228, 0.015342395982693836, 0.015957279293517392, 0.022128158832440174, 0.020746226304670774, 0.01020484275173351, 0.23268055010878716]	8.0	0.4078325459464307	20.0	0.23268055010878716
10	0	165	1278.0	[0.022153109097571084, 0.017107101320994623, 0.0121230634155147, 0.011082958023656499, 0.015494185206339215, 0.013869253286358081, 0.013653478195721453, 0.013031259054938953, 0.41146355033146614, 0.013236694918437437, 0.019001277801439617, 0.01074241396942825, 0.011456896889616142, 0.021493879558913635, 0.011765986601963188, 0.0153707041772026, 0.01598931315609, 0.02189116169783202, 0.019332244681815308, 0.010202013368182111, 0.23193617252576532]	8.0	0.41146355033146614	20.0	0.23193617252576532
