user_id	post_name	u_interactions_f	u_text_f	u_topic_c	u_topic_o	u_sentiment_c	u_sentiment_f
1	2491	5	65	10	[0.010967908427119255, 0.010967908427119255, 0.07650011777877808, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.19772882759571075, 0.010967908427119255, 0.5283486843109131, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.01096790935844183, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255, 0.010967908427119255]	2	0.998451
2	2487	5	72	8	[0.0968698263168335, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.34748920798301697, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.3479556143283844, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747, 0.01153807807713747]	2	0.993876
3	2486	5	423	8	[0.014681048691272736, 0.014681047759950161, 0.014681047759950161, 0.014681304804980755, 0.014681106433272362, 0.014681047759950161, 0.01468104962259531, 0.014681047759950161, 0.2739293575286865, 0.014681137166917324, 0.01468107383698225, 0.014681058004498482, 0.26556602120399475, 0.014681047759950161, 0.014681047759950161, 0.014681047759950161, 0.014681076630949974, 0.09714580327272415, 0.1137804463505745, 0.014681047759950161, 0.01468112412840128]	2	0.998622
4	4191	5	209	20	[0.10471777617931366, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194148756563663, 0.015194146893918514, 0.015194146893918514, 0.18931162357330322, 0.12961445748806, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.015194146893918514, 0.3180556297302246]	2	0.999981
5	2477	6	476	12	[0.013301780447363853, 0.013286417350172997, 0.01328643225133419, 0.013286388479173183, 0.013286487199366093, 0.013286388479173183, 0.23060165345668793, 0.013286416418850422, 0.08977565169334412, 0.013286388479173183, 0.013286398723721504, 0.013286388479173183, 0.44045203924179077, 0.013286389410495758, 0.013286388479173183, 0.013286388479173183, 0.013286418281495571, 0.013286388479173183, 0.013286388479173183, 0.013286388479173183, 0.013286448083817959]	1	0.0
6	4159	5	590	20	[0.02412795089185238, 0.024127867072820663, 0.024127867072820663, 0.024127867072820663, 0.024127917364239693, 0.024127870798110962, 0.024127867072820663, 0.024128155782818794, 0.024128777906298637, 0.09002617001533508, 0.024127962067723274, 0.024127870798110962, 0.024127904325723648, 0.024127867072820663, 0.024127881973981857, 0.024127867072820663, 0.024127960205078125, 0.024127867072820663, 0.024127867072820663, 0.024127870798110962, 0.45154276490211487]	2	0.999735
7	2476	6	67	0	[0.5991217494010925, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.05948200449347496, 0.012752467766404152, 0.012752467766404152, 0.11185181140899658, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152, 0.012752467766404152]	2	0.990415
8	4119	6	278	5	[0.01955273188650608, 0.019552815705537796, 0.019552841782569885, 0.019553255289793015, 0.019552795216441154, 0.25174081325531006, 0.01955273374915123, 0.01955273188650608, 0.019552739337086678, 0.01955273188650608, 0.019552750512957573, 0.18130648136138916, 0.01955273188650608, 0.01955273188650608, 0.01955273188650608, 0.01955273188650608, 0.01955273188650608, 0.01955273188650608, 0.01955278590321541, 0.14397037029266357, 0.09058505296707153]	2	0.994353
9	4110	5	261	20	[0.026385750621557236, 0.026385750621557236, 0.026385750621557236, 0.026385899633169174, 0.026385750621557236, 0.026385750621557236, 0.026385750621557236, 0.026385750621557236, 0.026385750621557236, 0.026385750621557236, 0.026385754346847534, 0.026385750621557236, 0.026385750621557236, 0.026385750621557236, 0.02638593502342701, 0.026385750621557236, 0.026385784149169922, 0.026385754346847534, 0.026385750621557236, 0.026385750621557236, 0.47228458523750305]	2	0.997674
10	4108	5	338	20	[0.11464313417673111, 0.017792539671063423, 0.01779274083673954, 0.017792513594031334, 0.06832063943147659, 0.01779252476990223, 0.017792513594031334, 0.017792515456676483, 0.017792513594031334, 0.017792513594031334, 0.017792513594031334, 0.017792735248804092, 0.017792513594031334, 0.017792515456676483, 0.09717557579278946, 0.017792513594031334, 0.017792513594031334, 0.017792515456676483, 0.017792513594031334, 0.01779252104461193, 0.4173873960971832]	2	0.999843
11	4106	5	331	8	[0.02006782777607441, 0.02006782777607441, 0.02006782777607441, 0.02006782777607441, 0.020067881792783737, 0.02006782777607441, 0.02006782777607441, 0.02006782777607441, 0.4235173761844635, 0.020068032667040825, 0.02006782777607441, 0.02006782777607441, 0.02006782777607441, 0.02006782777607441, 0.020067904144525528, 0.02006782777607441, 0.02006782777607441, 0.02006782963871956, 0.02006782777607441, 0.02006782777607441, 0.19519351422786713]	2	0.999968
12	2468	6	150	8	[0.01779400184750557, 0.01779400184750557, 0.01779400184750557, 0.017794057726860046, 0.017794005572795868, 0.01779400184750557, 0.01779400184750557, 0.01779400184750557, 0.20640422403812408, 0.11156296730041504, 0.01779400184750557, 0.09103225916624069, 0.01779400184750557, 0.01779400184750557, 0.01779400184750557, 0.14121679961681366, 0.01779400184750557, 0.01779400184750557, 0.16507962346076965, 0.017794005572795868, 0.017794005572795868]	2	0.998886
13	4099	5	430	20	[0.2961310148239136, 0.017099635675549507, 0.017099635675549507, 0.0617060512304306, 0.017099635675549507, 0.017099635675549507, 0.017099635675549507, 0.017099635675549507, 0.017099635675549507, 0.017099635675549507, 0.017099635675549507, 0.017099684104323387, 0.017099641263484955, 0.017099635675549507, 0.017099635675549507, 0.017099635675549507, 0.01709972880780697, 0.017099635675549507, 0.017099669203162193, 0.017099635675549507, 0.3343693017959595]	2	0.993721
14	4024	5	239	20	[0.017080210149288177, 0.017080290243029594, 0.017080210149288177, 0.017080210149288177, 0.017080210149288177, 0.017080210149288177, 0.01708085834980011, 0.01708090677857399, 0.017080213874578476, 0.017080219462513924, 0.017080210149288177, 0.017080210149288177, 0.017080210149288177, 0.017080210149288177, 0.017080258578062057, 0.017080232501029968, 0.017080210149288177, 0.017080212011933327, 0.01708022691309452, 0.017080210149288177, 0.6583942770957947]	2	0.999986
15	2436	5	282	17	[0.06119013577699661, 0.013186112977564335, 0.013186112977564335, 0.013186436146497726, 0.013186115771532059, 0.013186112977564335, 0.013186112977564335, 0.013186112977564335, 0.18735119700431824, 0.11288955807685852, 0.09875955432653427, 0.013186112977564335, 0.013186112977564335, 0.01318611390888691, 0.013186112977564335, 0.013186112977564335, 0.01318611390888691, 0.2850461006164551, 0.05697141960263252, 0.013186112977564335, 0.013186115771532059]	2	0.999757
16	3902	5	398	20	[0.01665613055229187, 0.06206785514950752, 0.016656089574098587, 0.01665608584880829, 0.01665608584880829, 0.016656164079904556, 0.01665613427758217, 0.07703802734613419, 0.016656089574098587, 0.01665608584880829, 0.016656089574098587, 0.016656184569001198, 0.016656115651130676, 0.01665608584880829, 0.016656724736094475, 0.01665608584880829, 0.01665608584880829, 0.01665608584880829, 0.21625228226184845, 0.01665608584880829, 0.3614874482154846]	2	0.9998
17	3799	5	63	8	[0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.42906567454338074, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.12194152921438217, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.01303288247436285, 0.21440088748931885]	2	0.999489
18	2366	5	77	8	[0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.08830346912145615, 0.4745233356952667, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.22034601867198944, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955, 0.012045955285429955]	2	0.996988
19	2362	5	177	10	[0.015158633701503277, 0.015158633701503277, 0.015158633701503277, 0.015158633701503277, 0.015158707275986671, 0.015158633701503277, 0.015158636495471, 0.015158647671341896, 0.3378039598464966, 0.01515872497111559, 0.3741818070411682, 0.015158633701503277, 0.015158633701503277, 0.015158633701503277, 0.015158666297793388, 0.015158636495471, 0.015158633701503277, 0.015158633701503277, 0.01515863835811615, 0.015158633701503277, 0.015158633701503277]	2	0.999875
20	2353	5	57	8	[0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.5473880171775818, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.1880708485841751, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352, 0.013923215679824352]	2	0.998747
21	2347	5	63	8	[0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.44152137637138367, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.15016694366931915, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.014984643086791039, 0.13858811557292938, 0.014984643086791039, 0.014984643086791039]	2	0.987964
22	3767	5	89	20	[0.0767916887998581, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.07117430120706558, 0.316281259059906, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.011856811121106148, 0.33418700098991394]	2	0.999986
23	2344	5	77	8	[0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.5234677791595459, 0.013330912217497826, 0.013330912217497826, 0.12075726687908173, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.013330912217497826, 0.11581848561763763, 0.013330912217497826, 0.013330912217497826]	2	0.99965
24	2340	5	116	8	[0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.4902855157852173, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.07927528768777847, 0.011247298680245876, 0.22798776626586914, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876, 0.011247298680245876]	2	0.997283
25	2334	5	104	8	[0.01901721954345703, 0.01901721954345703, 0.2160077840089798, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.34195324778556824, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.09972906112670898, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703, 0.01901721954345703]	2	0.995784
26	2329	5	71	13	[0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.30821260809898376, 0.01180460024625063, 0.14982052147388458, 0.01180460024625063, 0.01180460024625063, 0.3294840157032013, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063, 0.01180460024625063]	2	0.999075
27	2327	5	74	8	[0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.7394382357597351, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304, 0.013028088957071304]	2	0.977632
28	2318	5	61	8	[0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.5828810930252075, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.1660204827785492, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742, 0.013215705752372742]	2	0.996488
