post_id,user_id,timestamp,post_content,repost_count,like_count,comment_count
272,2193,730608878.0,卧槽…无情 #大v聊车# ​​​,32.0,248.0,90.0
34,49818,739277166.0,#汽车#博主线下联谊，测评最新款车。 ​,6.0,13.0,17.0
136,2193,734849727.0,这鸟，真准！[喵喵]#大v聊车# ​​​,1.0,21.0,12.0
417,2193,726065012.0,车真帅！文案真好！ #大v聊车# ​​​,1.0,21.0,5.0
277,2193,730481782.0,"喜欢这样的仪式感吗？
#大v聊车# ​​​",13.0,501.0,128.0
53,49819,735640764.0,"看看这车后备箱够大不[允悲]
#汽车# ​",0.0,1.0,1.0
470,2193,722579168.0,哈哈哈哈哈 笑疯了….#大v聊车# ​​​,24.0,79.0,6.0
2656,2193,723994894.0,现在…压力给到谁了？ #大v聊车# ​​​,0.0,43.0,27.0
171,2193,733811140.0,这一定….算得挺准...#大v聊车# ​​​,4.0,24.0,5.0
139,2193,734788279.0,这评论真的……令人窒息….#大v聊车# ​​​,12.0,215.0,61.0
2632,2193,728733210.0,雪很大呀，瑞雪兆丰年❤️ #大v聊车# ​​​,0.0,18.0,2.0
331,2193,728802253.0,据说猪脚饭好吃？凑合一口 #大v聊车# ​​​,1.0,36.0,21.0
2612,2193,733406616.0,"这小鹏 G6
够黑的....#大v聊车# ​​​",0.0,21.0,12.0
303,2193,729673876.0,这又是怎么做到的？[doge]#大v聊车# ​​​,3.0,45.0,22.0
388,2193,727001583.0,喜提十天免费单间，恭喜车主！ #大v聊车# ​​​,12.0,164.0,56.0
295,2193,729913817.0,有点恶心，但挺逗的 [挖鼻] #大v聊车# ​​​,7.0,110.0,27.0
308,2193,729572903.0,到底是怎么开进地库的？[思考]#大v聊车# ​​​,3.0,145.0,45.0
88,2193,736069702.0,迈腾车主又扎心了...[二哈]#大v聊车# ​​​,14.0,423.0,98.0
246,2193,731236569.0,这车牌什么水平？能值多少钱？ #大v聊车# ​​​,1.0,26.0,14.0
245,2193,731242836.0,不能说如出一辙，只能说……  #大v聊车# ​​​,6.0,57.0,43.0
459,2193,723530069.0,这个事情…不好评价…你怎么看？ #大v聊车# ​​​,4.0,150.0,72.0
329,2193,728888720.0,其他车企：上哪儿找这么忠的车主？#大v聊车# ​​​,2.0,54.0,25.0
423,2193,725708431.0,到底是哪里出问题了呢？[doge]#大v聊车# ​​​,5.0,77.0,33.0
427,2193,725521141.0,什么人会做这样的事儿？  [喵喵]#大v聊车# ​​​,11.0,82.0,25.0
420,2193,725868956.0,胡大师开始捡金子了 #大v聊车#  哈哈哈哈哈 ​​​,4.0,46.0,15.0
390,2193,726983154.0,"这么快，这么美，周末去趟河北？ 
#大v聊车# ​​​",2.0,79.0,8.0
392,2193,726917213.0,看这个底盘，你的第一直觉是什么车？#大v聊车# ​​​,3.0,116.0,90.0
311,2193,729492577.0,据说五菱和雅迪约架了，还打输了...#大v聊车# ​​​,9.0,33.0,16.0
2595,2193,735482060.0,我还以为五芳斋就只有...粽子...#大v聊车# ​​​,0.0,12.0,10.0
370,2193,727518265.0,你们说，这哥们能处不...[二哈] #大v聊车# ​​​,9.0,58.0,16.0
389,2193,726997510.0,什么车的车主会在车里干这事？[喵喵]#大v聊车# ​​​,22.0,784.0,143.0
275,2193,730552480.0,高铁上路，汽车司机们还没有适应过来吧 #大v聊车# ​​​,2.0,47.0,16.0
258,2193,730947145.0,路过，不能免俗的进来晒一会儿太阳...#大v聊车# ​​​,1.0,18.0,5.0
5,834,738469103.0,"今天的代步车[憧憬]
#我与汽车的日常##卷妹的日常# ​",2.0,142.0,76.0
407,2193,726369080.0,[doge]听说你春节前想买相机📷？ #大v聊车# ​​​,24.0,61.0,52.0
2653,2193,725342396.0,中午你吃什么？我凑合一口下午继续搬砖！ #大v聊车# ​​​,0.0,19.0,12.0
424,2193,725684835.0,什么电车充满电要好几个小时？[doge]#大v聊车# ​​​,5.0,62.0,37.0
342,2193,728552334.0,一张图说明高速有多堵！你被堵在路上了吗？#大v聊车# ​​​,2.0,38.0,12.0
2646,2193,726723732.0,这条街上的树....长得太懂事了....#大v聊车# ​​​,1.0,13.0,7.0
2643,2193,727419441.0,简单凑合一口，下午继续搬砖，你放假了吗？#大v聊车# ​​​,0.0,10.0,7.0
357,2193,728026946.0,有本事站起来再踢一次，求你了…[二哈] #大v聊车# ​​​,11.0,85.0,19.0
472,2193,722438989.0,看着都是图……其实里面的猫腻儿大了去了….#大v聊车# ​​​,5.0,97.0,49.0
382,2193,727247043.0,这是营销策略，还是真的撞了？ 颜色真不错～#大v聊车# ​​​,1.0,28.0,22.0
2620,2193,731809581.0,三潭印月......今天来到一块钱的背面 #大v聊车# ​​​,0.0,25.0,3.0
309,2193,729565413.0,我要是罪犯，看到这么猛的车都瑟瑟发抖...#大v聊车# ​​​,3.0,30.0,10.0
402,2193,726471009.0,不论品牌，就论职场，小米这是在歧视比亚迪？#大v聊车# ​​​,2.0,234.0,72.0
115,2193,735372196.0,卡宴撞上货车直接解体了，这市区是开了多快啊？#大v聊车# ​​​,4.0,71.0,46.0
293,2193,729932548.0,看得出来，两位妈妈还是非常懂车的[喵喵]  #大v聊车# ​​​,18.0,376.0,54.0
193,2193,733042112.0,好产品自己会打榜，小鹏 X9 这确实太猛了！#大v聊车# ​​​,20.0,40.0,15.0
